ele,time,_lat,_lon
949.3,2019-02-17T13:43:02Z,42.09503690,-3.69286008
937.8,2019-02-17T14:11:31Z,42.09507900,-3.69306747
936.3,2019-02-17T14:11:35Z,42.09511914,-3.69302318
932.1,2019-02-17T14:19:33Z,42.09503932,-3.69306649
934.2,2019-02-17T14:19:37Z,42.09507912,-3.69301922
938.9,2019-02-17T14:20:31Z,42.09525809,-3.69321836
940.4,2019-02-17T14:20:49Z,42.09515142,-3.69307334
942.3,2019-02-17T14:20:58Z,42.09512863,-3.69280242
940.6,2019-02-17T14:21:05Z,42.09508374,-3.69277040
940.6,2019-02-17T14:21:51Z,42.09502769,-3.69279077
946.2,2019-02-17T14:22:04Z,42.09506375,-3.69275050
943.4,2019-02-17T14:27:33Z,42.09500929,-3.69278009
941.8,2019-02-17T14:27:35Z,42.09501059,-3.69284495
940.6,2019-02-17T14:27:37Z,42.09502271,-3.69290551
940.6,2019-02-17T14:27:40Z,42.09504285,-3.69297813
936.4,2019-02-17T14:29:11Z,42.09526639,-3.69283447
936.4,2019-02-17T14:29:35Z,42.09540564,-3.69297343
936.4,2019-02-17T14:29:38Z,42.09530680,-3.69299797
934.4,2019-02-17T14:29:41Z,42.09525335,-3.69300489
935.5,2019-02-17T14:31:06Z,42.09503234,-3.69290272
938.5,2019-02-17T14:31:12Z,42.09500890,-3.69284388
940.1,2019-02-17T14:39:12Z,42.09498897,-3.69283307
938.3,2019-02-17T14:59:31Z,42.09504710,-3.69286958
932.3,2019-02-17T15:03:36Z,42.09506895,-3.69289108
935.1,2019-02-17T15:11:51Z,42.09504297,-3.69284589
933.8,2019-02-17T15:14:09Z,42.09507762,-3.69280556
935.3,2019-02-17T15:15:52Z,42.09509194,-3.69284602
940.9,2019-02-17T15:16:47Z,42.09507320,-3.69287343
945.1,2019-02-17T15:17:06Z,42.09504060,-3.69294671
945.1,2019-02-17T15:17:09Z,42.09501996,-3.69300981
945.1,2019-02-17T15:17:32Z,42.09505228,-3.69305273
946.4,2019-02-17T15:18:10Z,42.09503218,-3.69311611
