ele,time,_lat,_lon
906.4,2019-02-19T07:10:12Z,42.33850321,-3.69731249
903.7,2019-02-19T07:10:22Z,42.33854489,-3.69733583
895.9,2019-02-19T07:12:47Z,42.33850062,-3.69735456
882.8,2019-02-19T07:20:57Z,42.33851525,-3.69729717
880.9,2019-02-19T07:23:09Z,42.33847021,-3.69729077
878.9,2019-02-19T07:23:18Z,42.33842261,-3.69728899
877.5,2019-02-19T07:23:27Z,42.33837623,-3.69728001
869.8,2019-02-19T07:26:46Z,42.33833852,-3.69731392
871.4,2019-02-19T07:43:34Z,42.33838626,-3.69732269
875.3,2019-02-19T07:48:00Z,42.33843318,-3.69733021
875.3,2019-02-19T07:48:07Z,42.33848071,-3.69733623
862.0,2019-02-19T07:50:14Z,42.33872428,-3.69727873
855.1,2019-02-19T07:50:17Z,42.33873210,-3.69740081
852.9,2019-02-19T07:50:19Z,42.33872835,-3.69747714
851.5,2019-02-19T07:50:22Z,42.33870783,-3.69756378
851.5,2019-02-19T07:50:25Z,42.33866815,-3.69763259
851.5,2019-02-19T07:50:28Z,42.33860986,-3.69769820
852.7,2019-02-19T07:50:30Z,42.33857057,-3.69773825
852.7,2019-02-19T07:50:33Z,42.33854197,-3.69781004
852.7,2019-02-19T07:50:36Z,42.33854014,-3.69788243
851.5,2019-02-19T07:50:39Z,42.33850018,-3.69794106
851.5,2019-02-19T07:50:42Z,42.33846384,-3.69800026
855.4,2019-02-19T07:50:46Z,42.33845004,-3.69807211
857.2,2019-02-19T07:50:50Z,42.33844501,-3.69813991
871.3,2019-02-19T07:50:54Z,42.33844966,-3.69821804
880.7,2019-02-19T07:50:58Z,42.33849991,-3.69825609
877.4,2019-02-19T07:51:01Z,42.33854441,-3.69827111
872.2,2019-02-19T07:51:04Z,42.33860037,-3.69828805
867.5,2019-02-19T07:51:07Z,42.33866140,-3.69830595
861.9,2019-02-19T07:51:10Z,42.33870652,-3.69830092
858.1,2019-02-19T07:51:14Z,42.33876395,-3.69829128
858.1,2019-02-19T07:51:18Z,42.33882223,-3.69830179
858.1,2019-02-19T07:51:21Z,42.33887600,-3.69832008
858.1,2019-02-19T07:51:24Z,42.33892044,-3.69830997
859.7,2019-02-19T07:51:27Z,42.33896693,-3.69829044
859.7,2019-02-19T07:51:30Z,42.33903219,-3.69829207
859.7,2019-02-19T07:51:32Z,42.33907898,-3.69829428
859.7,2019-02-19T07:51:35Z,42.33913317,-3.69828078
856.7,2019-02-19T07:51:41Z,42.33918481,-3.69830557
856.7,2019-02-19T07:51:44Z,42.33923552,-3.69834825
856.7,2019-02-19T07:51:46Z,42.33927961,-3.69838101
856.7,2019-02-19T07:51:48Z,42.33932475,-3.69841988
856.7,2019-02-19T07:51:51Z,42.33938073,-3.69847786
858.5,2019-02-19T07:51:54Z,42.33942927,-3.69851794
858.5,2019-02-19T07:51:57Z,42.33947345,-3.69857057
858.5,2019-02-19T07:52:00Z,42.33951538,-3.69862612
858.5,2019-02-19T07:52:03Z,42.33955503,-3.69868373
857.0,2019-02-19T07:52:06Z,42.33959749,-3.69873315
857.0,2019-02-19T07:52:09Z,42.33963302,-3.69877818
855.8,2019-02-19T07:52:12Z,42.33967743,-3.69883092
855.8,2019-02-19T07:52:15Z,42.33972544,-3.69886976
855.8,2019-02-19T07:52:18Z,42.33977737,-3.69891480
855.8,2019-02-19T07:52:21Z,42.33982841,-3.69896029
855.8,2019-02-19T07:52:25Z,42.33985673,-3.69902365
855.8,2019-02-19T07:52:28Z,42.33987499,-3.69909360
855.8,2019-02-19T07:52:31Z,42.33988446,-3.69916917
855.8,2019-02-19T07:52:34Z,42.33991891,-3.69921805
855.8,2019-02-19T07:52:37Z,42.33995985,-3.69925011
855.8,2019-02-19T07:52:40Z,42.34000601,-3.69928464
855.8,2019-02-19T07:52:43Z,42.34005425,-3.69931574
855.8,2019-02-19T07:52:46Z,42.34009898,-3.69934656
855.8,2019-02-19T07:52:49Z,42.34014115,-3.69936982
855.8,2019-02-19T07:52:52Z,42.34018605,-3.69939678
855.8,2019-02-19T07:52:55Z,42.34024086,-3.69942152
855.8,2019-02-19T07:52:58Z,42.34029780,-3.69944110
855.8,2019-02-19T07:53:01Z,42.34035370,-3.69945863
855.8,2019-02-19T07:53:04Z,42.34040051,-3.69947973
855.8,2019-02-19T07:53:07Z,42.34044014,-3.69951184
855.8,2019-02-19T07:53:10Z,42.34048247,-3.69956415
855.8,2019-02-19T07:53:13Z,42.34051207,-3.69961936
855.8,2019-02-19T07:53:16Z,42.34054160,-3.69966756
855.8,2019-02-19T07:53:19Z,42.34058507,-3.69970258
855.8,2019-02-19T07:53:22Z,42.34062278,-3.69974246
855.8,2019-02-19T07:53:25Z,42.34066010,-3.69978550
855.8,2019-02-19T07:53:28Z,42.34070242,-3.69982252
855.8,2019-02-19T07:53:31Z,42.34074521,-3.69985331
853.9,2019-02-19T07:53:34Z,42.34079772,-3.69990139
852.1,2019-02-19T07:53:37Z,42.34081535,-3.69996862
852.1,2019-02-19T07:53:41Z,42.34080754,-3.70004850
850.4,2019-02-19T07:53:44Z,42.34078971,-3.70012522
849.1,2019-02-19T07:53:48Z,42.34078208,-3.70020027
846.9,2019-02-19T07:53:51Z,42.34080747,-3.70028341
845.6,2019-02-19T07:53:53Z,42.34081294,-3.70034931
845.6,2019-02-19T07:53:55Z,42.34080875,-3.70040988
847.3,2019-02-19T07:53:57Z,42.34079557,-3.70047086
849.2,2019-02-19T07:54:00Z,42.34076784,-3.70053885
851.3,2019-02-19T07:54:04Z,42.34076422,-3.70060950
851.3,2019-02-19T07:54:07Z,42.34074722,-3.70067239
848.9,2019-02-19T07:54:10Z,42.34073149,-3.70074134
848.9,2019-02-19T07:54:13Z,42.34070645,-3.70081491
848.9,2019-02-19T07:54:16Z,42.34069333,-3.70087548
848.9,2019-02-19T07:54:20Z,42.34067710,-3.70093439
848.9,2019-02-19T07:54:23Z,42.34066886,-3.70099539
848.9,2019-02-19T07:54:26Z,42.34066243,-3.70107279
847.9,2019-02-19T07:54:29Z,42.34064863,-3.70115309
847.9,2019-02-19T07:54:32Z,42.34063416,-3.70122579
847.9,2019-02-19T07:54:35Z,42.34061264,-3.70128307
847.9,2019-02-19T07:54:38Z,42.34060161,-3.70135116
849.8,2019-02-19T07:54:41Z,42.34060039,-3.70141429
851.4,2019-02-19T07:54:44Z,42.34058899,-3.70147668
851.4,2019-02-19T07:54:47Z,42.34056374,-3.70154691
851.4,2019-02-19T07:54:50Z,42.34053744,-3.70161130
852.6,2019-02-19T07:54:53Z,42.34051939,-3.70166926
852.6,2019-02-19T07:54:57Z,42.34050266,-3.70174312
852.6,2019-02-19T07:55:01Z,42.34050486,-3.70181582
850.5,2019-02-19T07:55:06Z,42.34049631,-3.70189334
850.5,2019-02-19T07:55:09Z,42.34047914,-3.70195550
850.5,2019-02-19T07:55:12Z,42.34048172,-3.70202985
852.1,2019-02-19T07:55:15Z,42.34051091,-3.70210913
855.4,2019-02-19T07:55:19Z,42.34056467,-3.70211774
855.4,2019-02-19T07:55:22Z,42.34059941,-3.70205948
855.4,2019-02-19T07:55:25Z,42.34062385,-3.70199783
855.4,2019-02-19T07:55:30Z,42.34064716,-3.70205062
857.5,2019-02-19T07:55:32Z,42.34068084,-3.70212380
857.5,2019-02-19T07:55:34Z,42.34071119,-3.70218932
857.5,2019-02-19T07:55:37Z,42.34071914,-3.70225436
853.1,2019-02-19T07:57:25Z,42.34061047,-3.70246121
853.1,2019-02-19T07:57:31Z,42.34056376,-3.70244112
856.2,2019-02-19T09:30:50Z,42.34067112,-3.70230983
856.2,2019-02-19T09:35:21Z,42.34059615,-3.70239321
857.3,2019-02-19T09:35:39Z,42.34060090,-3.70233248
857.3,2019-02-19T09:36:44Z,42.34058568,-3.70243076
857.3,2019-02-19T09:36:46Z,42.34058484,-3.70249705
857.3,2019-02-19T09:37:37Z,42.34061411,-3.70238742
857.3,2019-02-19T09:37:47Z,42.34063148,-3.70231647
857.3,2019-02-19T09:39:12Z,42.34064556,-3.70224864
857.3,2019-02-19T09:40:12Z,42.34058098,-3.70240401
857.3,2019-02-19T09:40:14Z,42.34058344,-3.70246603
857.3,2019-02-19T09:41:16Z,42.34058598,-3.70249393
857.3,2019-02-19T09:42:00Z,42.34059271,-3.70237478
860.1,2019-02-19T09:50:38Z,42.34059363,-3.70227192
862.6,2019-02-19T09:50:42Z,42.34060825,-3.70221264
865.2,2019-02-19T09:51:00Z,42.34062629,-3.70215513
880.2,2019-02-19T09:52:30Z,42.34065326,-3.70216697
880.2,2019-02-19T09:55:35Z,42.34065560,-3.70222956
871.2,2019-02-19T10:04:05Z,42.34041832,-3.70252300
870.1,2019-02-19T10:04:09Z,42.34038272,-3.70248543
865.3,2019-02-19T10:12:23Z,42.34044759,-3.70244373
857.4,2019-02-19T10:33:15Z,42.34045179,-3.70246354
869.1,2019-02-19T10:36:26Z,42.34053214,-3.70240712
885.9,2019-02-19T10:39:19Z,42.34058638,-3.70241398
885.9,2019-02-19T10:39:25Z,42.34062569,-3.70245004
889.2,2019-02-19T10:43:42Z,42.34056841,-3.70239879
884.0,2019-02-19T10:45:41Z,42.34057392,-3.70245976
880.3,2019-02-19T10:53:01Z,42.34053718,-3.70242464
880.3,2019-02-19T11:04:07Z,42.34057432,-3.70238108
856.2,2019-02-19T11:04:28Z,42.34059903,-3.70236223
859.8,2019-02-19T11:04:49Z,42.34063691,-3.70232068
866.6,2019-02-19T11:04:52Z,42.34056154,-3.70238965
870.9,2019-02-19T11:04:54Z,42.34052224,-3.70242191
878.1,2019-02-19T11:29:32Z,42.34048319,-3.70244856
865.0,2019-02-19T11:35:47Z,42.34056300,-3.70232831
870.4,2019-02-19T11:36:16Z,42.34051703,-3.70231128
872.0,2019-02-19T11:36:35Z,42.34053335,-3.70237289
874.6,2019-02-19T11:38:06Z,42.34052971,-3.70231159
877.7,2019-02-19T11:38:20Z,42.34049222,-3.70227623
875.3,2019-02-19T11:49:52Z,42.34048147,-3.70233527
871.1,2019-02-19T12:25:19Z,42.34052024,-3.70236764
868.3,2019-02-19T13:05:32Z,42.34055986,-3.70239995
866.0,2019-02-19T13:07:10Z,42.34047983,-3.70204517
866.0,2019-02-19T13:07:13Z,42.34042119,-3.70207570
864.9,2019-02-19T13:07:16Z,42.34037728,-3.70204951
861.5,2019-02-19T13:07:19Z,42.34038795,-3.70196589
859.4,2019-02-19T13:07:22Z,42.34041327,-3.70188153
857.5,2019-02-19T13:07:25Z,42.34044071,-3.70180903
854.7,2019-02-19T13:07:28Z,42.34047668,-3.70174091
851.3,2019-02-19T13:07:31Z,42.34051254,-3.70168095
847.9,2019-02-19T13:07:35Z,42.34053576,-3.70161863
849.3,2019-02-19T13:07:39Z,42.34054080,-3.70154847
849.3,2019-02-19T13:07:43Z,42.34054720,-3.70147504
851.9,2019-02-19T13:07:47Z,42.34056526,-3.70139620
853.4,2019-02-19T13:07:50Z,42.34059040,-3.70133077
853.4,2019-02-19T13:07:53Z,42.34061617,-3.70127576
853.4,2019-02-19T13:07:58Z,42.34061075,-3.70120343
851.7,2019-02-19T13:08:02Z,42.34060380,-3.70112914
850.5,2019-02-19T13:08:06Z,42.34061900,-3.70105650
850.5,2019-02-19T13:08:10Z,42.34062786,-3.70098930
850.5,2019-02-19T13:08:14Z,42.34064373,-3.70091330
850.5,2019-02-19T13:08:17Z,42.34065283,-3.70085148
850.5,2019-02-19T13:08:20Z,42.34065696,-3.70078927
850.5,2019-02-19T13:08:24Z,42.34067751,-3.70071197
850.5,2019-02-19T13:08:27Z,42.34068532,-3.70064882
851.8,2019-02-19T13:08:30Z,42.34068920,-3.70058491
852.8,2019-02-19T13:08:33Z,42.34069064,-3.70052266
854.8,2019-02-19T13:08:36Z,42.34068388,-3.70045728
856.0,2019-02-19T13:08:40Z,42.34068202,-3.70038063
854.9,2019-02-19T13:08:43Z,42.34071389,-3.70033099
852.8,2019-02-19T13:08:46Z,42.34074552,-3.70027783
852.8,2019-02-19T13:08:49Z,42.34076842,-3.70022558
852.8,2019-02-19T13:08:52Z,42.34079215,-3.70017290
851.8,2019-02-19T13:08:55Z,42.34083015,-3.70011754
851.8,2019-02-19T13:08:58Z,42.34087207,-3.70005295
851.8,2019-02-19T13:09:01Z,42.34090014,-3.69999550
852.9,2019-02-19T13:09:05Z,42.34087044,-3.69992877
852.9,2019-02-19T13:09:08Z,42.34080570,-3.69992111
854.1,2019-02-19T13:09:11Z,42.34074502,-3.69991690
854.1,2019-02-19T13:09:14Z,42.34070160,-3.69989574
854.1,2019-02-19T13:09:17Z,42.34065863,-3.69987454
854.1,2019-02-19T13:09:20Z,42.34060594,-3.69985556
854.1,2019-02-19T13:09:23Z,42.34055966,-3.69981562
854.1,2019-02-19T13:09:26Z,42.34052149,-3.69974923
854.1,2019-02-19T13:09:29Z,42.34049334,-3.69968098
854.1,2019-02-19T13:09:32Z,42.34047546,-3.69961586
854.1,2019-02-19T13:09:36Z,42.34046672,-3.69953726
852.8,2019-02-19T13:09:39Z,42.34046545,-3.69946945
852.8,2019-02-19T13:09:42Z,42.34045635,-3.69940128
852.8,2019-02-19T13:09:45Z,42.34042111,-3.69935839
849.5,2019-02-19T13:09:50Z,42.34037086,-3.69936758
847.8,2019-02-19T13:09:54Z,42.34032349,-3.69933290
847.8,2019-02-19T13:09:58Z,42.34027195,-3.69931057
847.8,2019-02-19T13:10:01Z,42.34022640,-3.69929181
847.8,2019-02-19T13:10:04Z,42.34018398,-3.69926215
847.8,2019-02-19T13:10:08Z,42.34014000,-3.69922943
845.9,2019-02-19T13:10:14Z,42.34009412,-3.69918654
845.9,2019-02-19T13:10:17Z,42.34005076,-3.69916052
845.9,2019-02-19T13:10:20Z,42.34000622,-3.69915078
846.9,2019-02-19T13:10:23Z,42.33995772,-3.69912821
